OBJECTID_1,FIPS,EDU_COMP,EDU_RANK,EE_COMP,EE_RANK,N_COMP,N_RANK,COMP_,COMP_RANK,COMP_OPP
1054,26099260700,0.239928,3,-0.025239,2,0.186565,3,0.133751,3,Moderate
1055,26099260800,0.317416,4,0.00632,3,0.493826,5,0.272521,4,High
1056,26099261000,0.443529,4,0.095043,3,0.313972,4,0.284181,4,High
1057,26099261100,0.104897,3,-0.117933,2,0.001529,3,-0.003836,3,Moderate
1058,26099261200,-0.031384,3,0.260127,4,0.396693,4,0.208479,3,Moderate
1059,26099261400,-0.079108,3,0.405836,4,0.457521,4,0.261416,3,Moderate
1060,26099261500,-0.216739,2,0.034611,3,0.002264,3,-0.059954,2,Low
1061,26099261700,-0.000828,3,0.293414,4,-0.052827,2,0.07992,3,Moderate
1062,26099261800,0.157982,3,0.201397,3,0.406088,4,0.255156,3,Moderate
1063,26099261900,-0.030664,3,0.160545,3,0.116159,3,0.082013,3,Moderate
1064,26099262000,0.133709,3,0.311999,4,0.359957,4,0.268555,4,High
1065,26099262200,0.297666,4,0.164783,3,0.388488,4,0.283646,4,High
1066,26099262300,-0.25078,2,0.276418,4,-0.015423,2,0.003405,3,Moderate
1067,26099262400,-0.430085,2,-0.146844,2,0.111925,3,-0.155002,2,Low
1068,26099262500,-0.18121,2,0.092333,3,0.174177,3,0.028433,3,Moderate
1069,26099262700,-0.243021,2,0.438982,4,0.121843,3,0.105935,3,Moderate
1070,26099262800,0.163695,3,-0.061525,2,0.045543,3,0.049238,3,Moderate
1071,26099262900,-0.398999,2,-0.117138,2,-0.042351,2,-0.186162,2,Low
1072,26099263200,-0.674443,2,-0.344266,2,-0.363822,2,-0.460844,2,Low
1073,26163550100,1.234125,5,0.811201,5,0.634235,5,0.893187,5,Very High
1074,26163550200,1.030869,5,0.221571,3,0.125181,3,0.459207,4,High
1075,26163550400,0.969917,5,0.547233,4,0.361444,4,0.626198,5,Very High
1076,26163550500,1.048858,5,0.914424,5,0.717376,5,0.893553,5,Very High
1077,26163550600,1.254626,5,1.127148,5,1.302545,5,1.228106,5,Very High
1078,26163550700,1.252032,5,0.792855,5,0.683793,5,0.90956,5,Very High
1079,26163550900,1.262037,5,1.202225,5,1.060519,5,1.174927,5,Very High
1080,26163551100,1.239076,5,0.721698,5,0.769205,5,0.909993,5,Very High
1081,26163551200,1.171485,5,0.649306,5,0.514171,5,0.778321,5,Very High
1082,26163551300,0.54119,4,-0.156255,2,-0.047603,2,0.112444,3,Moderate
1083,26163551400,0.826865,5,-0.135871,2,0.006135,3,0.232376,3,Moderate
1084,26163551600,-0.658969,2,-0.114304,2,-0.140927,2,-0.304733,2,Low
1085,26163551700,1.174,5,0.871804,5,0.794774,5,0.946859,5,Very High
1086,26163554100,-0.168659,3,0.006211,3,0.017428,3,-0.04834,2,Low
1087,26163554200,-0.12725,3,0.046549,3,0.123537,3,0.014279,3,Moderate
1088,26163554300,-0.161729,3,0.370924,4,0.293275,4,0.16749,3,Moderate
1089,26163554500,-0.308002,2,-0.25067,2,0.010004,3,-0.182889,2,Low
1090,26163554600,-0.210355,2,-0.146735,2,0.256588,3,-0.033501,3,Moderate
1091,26163554700,-0.359044,2,-0.085644,2,0.25905,4,-0.061879,2,Low
1092,26163554800,-0.13364,3,-0.242222,2,0.159018,3,-0.072281,2,Low
1093,26163555100,-0.026689,3,0.099307,3,0.292454,4,0.121691,3,Moderate
1094,26163555300,0.08902,3,-0.33922,2,0.213665,3,-0.012178,3,Moderate
1095,26163555400,-0.447107,2,0.348522,4,0.014944,3,-0.02788,3,Moderate
1096,26163555500,-0.091596,3,0.248351,3,0.29996,4,0.152238,3,Moderate
